,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Region label
0,2011,110.45,142.42,146.64,38.38,15.82,20.15,20.3,16.05,12.82,36.05,62.29,75.33,Australia
1,2012,97.21,70.65,113.45,18.74,16.7,24.97,19.36,8.83,9.79,10.3,32.01,49.83,Australia
2,2013,68.77,60.99,65.92,20.09,34.7,30.3,18.98,11.58,13.75,11.77,42.9,42.86,Australia
3,2014,95.35,109.95,43.23,40.55,21.83,16.06,14.66,15.01,12.34,9.58,26.6,68.22,Australia
4,2015,111.7,41.18,45.78,27.8,22.75,20.11,15.99,17.11,6.24,11.08,34.28,82.72,Australia
5,2016,71.74,44.23,65.24,10.62,42.8,50.89,35.17,27.25,46.96,19.91,23.81,93.47,Australia
6,2017,126.51,85.84,71.31,25.71,15.06,8.76,12.98,14.4,10.81,36.79,40.8,45.47,Australia
7,2018,103.0,73.38,59.23,9.51,8.92,17.21,10.97,14.08,5.24,25.44,37.76,41.11,Australia
8,2019,52.1,49.19,57.01,21.13,15.99,16.91,10.45,8.71,6.72,8.46,12.62,16.42,Australia
9,2020,90.58,86.15,52.76,24.17,18.62,10.85,12.58,20.42,16.3,32.27,18.88,103.01,Australia
10,2021,75.76,90.4,79.74,19.46,18.16,26.29,21.83,11.31,14.25,26.23,75.42,48.89,Australia
11,2011,85.58,86.52,69.52,32.7,33.75,36.4,23.62,40.69,42.47,39.97,101.67,72.81,New South Wales
12,2012,90.66,104.73,120.37,24.95,22.24,39.47,44.14,14.21,18.57,15.64,35.25,34.47,New South Wales
13,2013,59.3,69.69,56.44,15.35,32.2,74.65,29.59,13.38,30.23,12.92,43.64,24.83,New South Wales
14,2014,19.49,49.67,84.35,45.88,23.11,40.96,14.88,51.33,24.87,15.37,22.45,75.95,New South Wales
15,2015,93.45,32.51,19.45,74.92,44.03,49.5,38.33,38.88,15.87,25.46,65.51,43.82,New South Wales
16,2016,87.06,14.55,27.46,20.03,59.83,112.18,44.44,58.85,117.96,39.94,26.93,53.82,New South Wales
17,2017,40.2,20.52,96.32,30.24,29.75,24.93,12.15,22.64,5.15,60.22,45.67,68.64,New South Wales
18,2018,31.58,32.55,31.27,12.8,11.95,27.09,8.86,17.17,16.34,49.63,52.14,40.3,New South Wales
19,2019,28.44,20.92,49.8,19.49,29.9,20.38,15.4,9.12,13.35,10.32,26.19,8.18,New South Wales
20,2020,42.35,103.03,75.65,69.62,22.81,25.86,43.54,50.12,34.54,67.46,21.01,83.23,New South Wales
21,2021,66.49,67.47,138.13,11.51,29.08,59.74,42.23,27.74,44.18,40.59,136.97,57.12,New South Wales
22,2011,163.58,216.61,265.78,61.61,1.0,8.26,4.25,0.1,0.53,37.18,95.31,101.65,Northern Territory
23,2012,85.97,84.39,153.1,29.96,6.7,0.9,1.52,0.06,3.83,4.77,45.87,80.56,Northern Territory
24,2013,67.94,67.2,109.02,19.65,30.8,3.34,4.86,0.14,1.22,7.08,62.77,71.51,Northern Territory
25,2014,198.1,194.49,48.66,45.34,4.48,1.13,5.2,0.25,0.09,1.33,35.25,129.72,Northern Territory
26,2015,224.52,64.62,38.95,7.63,4.52,5.0,1.3,3.06,0.38,4.51,30.95,214.16,Northern Territory
27,2016,76.48,60.1,81.71,5.46,39.12,17.46,7.67,10.05,41.2,18.16,41.17,188.46,Northern Territory
28,2017,223.65,148.49,65.78,32.81,0.99,0.89,10.17,0.09,4.56,19.68,75.03,48.47,Northern Territory
29,2018,210.32,71.39,73.55,7.74,0.46,0.68,0.2,0.8,0.86,20.48,58.65,40.21,Northern Territory
30,2019,79.15,45.87,58.11,23.77,14.16,0.43,0.13,0.08,3.25,5.92,14.0,20.52,Northern Territory
31,2020,124.46,127.58,67.26,21.38,6.34,0.33,0.86,2.2,6.79,37.54,18.54,198.64,Northern Territory
32,2021,94.8,149.12,101.34,9.96,0.72,7.93,0.47,0.52,6.66,28.16,76.23,88.55,Northern Territory
33,2011,149.53,137.04,222.38,38.11,12.15,14.5,10.29,11.69,9.24,31.99,58.78,128.66,Queensland
34,2012,148.99,112.75,174.94,22.96,31.68,32.89,34.85,2.94,6.13,14.56,26.99,47.22,Queensland
35,2013,138.06,73.96,81.83,34.26,29.42,6.91,9.33,0.78,3.85,8.93,70.83,27.51,Queensland
36,2014,82.25,177.56,81.37,33.72,8.33,16.47,2.13,21.36,14.45,6.01,20.35,95.14,Queensland
37,2015,136.05,64.3,50.44,21.09,14.64,22.39,6.6,8.84,4.1,13.78,42.05,108.17,Queensland
38,2016,90.58,78.2,109.55,9.02,32.18,59.91,49.13,28.96,58.43,16.41,24.81,68.97,Queensland
39,2017,143.78,81.65,114.06,11.5,26.38,5.23,9.72,2.59,1.57,72.13,44.98,36.52,Queensland
40,2018,84.13,108.66,149.65,12.34,4.38,8.62,4.99,4.19,2.45,33.14,31.3,78.56,Queensland
41,2019,101.94,136.33,130.49,34.54,11.81,11.76,7.87,2.4,1.69,13.84,10.63,20.57,Queensland
42,2020,136.09,128.82,77.69,13.97,21.48,8.04,8.97,13.04,15.29,27.25,15.53,112.17,Queensland
43,2021,123.78,116.76,93.29,47.43,6.36,26.57,15.72,8.62,11.55,30.53,114.31,80.13,Queensland
44,2011,25.16,90.85,59.55,6.09,16.41,11.21,21.46,12.14,7.9,30.31,32.47,28.24,South Australia
45,2012,19.95,31.77,35.6,7.4,9.04,20.13,12.59,7.61,4.22,3.45,9.2,10.16,South Australia
46,2013,1.98,14.53,23.52,9.84,27.21,33.09,27.78,10.51,8.45,5.15,9.22,17.6,South Australia
47,2014,11.44,34.11,4.79,49.17,26.48,14.69,13.88,6.31,7.73,1.97,12.33,14.14,South Australia
48,2015,45.66,2.45,3.24,19.86,22.44,16.0,11.54,17.43,7.15,3.82,19.27,22.71,South Australia
49,2016,25.86,14.36,45.27,4.58,38.44,42.58,20.34,26.45,49.86,11.63,7.69,68.5,South Australia
50,2017,51.56,14.28,3.02,28.57,7.9,9.62,10.6,14.64,18.68,19.64,31.01,22.94,South Australia
51,2018,23.35,17.34,6.2,3.32,9.9,11.78,8.73,21.01,2.88,15.27,32.18,14.48,South Australia
52,2019,4.4,1.92,7.1,3.23,18.92,12.69,6.59,6.61,8.58,2.47,5.35,4.45,South Australia
53,2020,17.76,20.41,16.33,22.44,7.7,6.8,6.02,24.57,26.19,41.79,4.32,28.73,South Australia
54,2021,16.97,19.7,34.01,2.13,9.53,22.9,19.16,7.18,5.6,13.49,60.89,7.64,South Australia
55,2011,122.81,94.95,124.2,95.5,74.76,174.07,152.63,164.04,117.79,103.68,138.07,56.59,Tasmania
56,2012,73.81,51.4,113.7,105.55,171.6,131.63,94.42,168.89,173.01,75.8,64.59,88.55,Tasmania
57,2013,51.63,43.51,101.93,82.35,104.01,72.53,188.85,298.69,152.81,191.33,129.07,90.9,Tasmania
58,2014,57.31,58.0,82.25,112.27,118.74,104.82,174.5,85.44,89.07,115.69,63.49,89.05,Tasmania
59,2015,112.23,34.46,119.81,41.71,196.22,108.71,121.4,142.21,58.89,20.39,72.07,67.4,Tasmania
60,2016,95.31,59.96,61.97,67.42,274.41,250.04,239.64,126.07,139.45,208.37,131.93,107.8,Tasmania
61,2017,73.42,53.73,50.91,65.21,134.85,66.7,142.08,149.52,173.68,91.77,48.56,101.79,Tasmania
62,2018,51.57,83.49,130.14,83.54,140.91,121.76,229.03,170.83,91.61,50.23,110.24,91.7,Tasmania
63,2019,17.23,85.42,76.42,100.0,142.67,121.09,222.82,149.36,105.14,62.27,131.75,92.61,Tasmania
64,2020,70.08,71.58,124.37,177.43,110.1,120.67,66.06,136.09,108.24,150.19,51.78,115.6,Tasmania
65,2021,75.5,94.95,107.58,102.09,99.42,115.23,178.55,151.02,137.71,201.56,76.87,35.08,Tasmania
66,2011,119.3,106.87,59.03,42.3,46.95,47.64,70.6,62.63,48.8,52.54,82.43,46.59,Victoria
67,2012,32.77,54.74,101.29,30.29,48.85,79.66,65.71,66.16,44.28,34.65,30.45,31.5,Victoria
68,2013,8.34,43.9,31.55,20.82,45.02,96.07,74.35,88.15,60.68,57.9,37.29,40.24,Victoria
69,2014,21.47,21.14,39.04,81.38,48.66,86.18,55.09,31.75,45.39,29.37,41.45,45.75,Victoria
70,2015,64.87,27.89,17.23,61.59,48.7,42.26,62.06,49.79,34.06,18.74,44.53,27.72,Victoria
71,2016,64.83,17.45,38.02,21.13,88.0,80.86,102.65,65.34,131.47,84.43,41.81,42.2,Victoria
72,2017,37.45,32.78,36.18,80.21,45.31,13.57,54.97,85.34,48.99,48.52,50.42,81.65,Victoria
73,2018,34.1,11.54,19.57,16.23,61.01,55.65,50.09,62.08,22.96,30.31,50.42,71.59,Victoria
74,2019,11.3,22.05,28.1,11.52,88.03,67.52,59.12,54.78,43.4,22.82,47.15,11.61,Victoria
75,2020,49.04,52.41,42.54,104.66,51.61,44.06,46.07,70.51,50.61,88.1,34.51,36.21,Victoria
76,2021,73.35,26.82,47.68,19.03,57.08,88.09,75.34,54.22,73.42,72.32,79.64,31.1,Victoria
77,2011,96.23,150.35,99.87,39.19,15.68,22.1,26.12,12.87,8.04,36.02,42.51,47.14,Western Australia
78,2012,106.52,40.48,79.69,9.1,5.88,21.56,6.41,6.88,7.45,7.31,35.5,56.92,Western Australia
79,2013,56.75,66.31,54.37,14.45,41.47,37.95,16.7,10.53,16.03,9.62,24.53,53.34,Western Australia
80,2014,116.24,77.92,15.12,32.03,33.1,7.31,20.75,6.59,10.06,12.98,31.08,37.67,Western Australia
81,2015,71.93,32.41,72.33,27.32,24.29,14.2,17.76,16.77,3.38,9.91,24.48,37.94,Western Australia
82,2016,69.41,35.96,48.75,11.35,38.18,37.63,31.38,19.07,7.52,9.23,14.94,87.72,Western Australia
83,2017,130.94,111.22,67.23,23.18,6.8,7.79,10.76,17.34,11.57,17.95,21.1,46.67,Western Australia
84,2018,122.24,90.97,21.05,7.34,6.97,24.56,13.18,15.74,2.96,17.75,25.75,22.34,Western Australia
85,2019,34.63,20.1,29.82,16.96,4.29,22.37,7.69,10.5,3.22,5.14,5.49,17.33,Western Australia
86,2020,90.19,58.8,33.92,7.21,20.69,9.15,9.28,16.21,6.61,9.53,24.17,88.1,Western Australia
87,2021,59.03,82.5,60.25,12.48,29.71,18.19,22.77,7.59,5.16,13.87,33.23,22.04,Western Australia
